Ne(RPM),Te(N.m)
0,0
1054.616554,112.6692642
1212.386686,118.0858545
1358.269601,124.2483593
1469.513325,129.7127182
1650.888963,134.9870124
1850.402165,140.4945677
2043.869512,145.2799813
2249.428568,150.6457481
2456.499088,155.3089716
2648.454971,159.9761948
2840.194931,163.9209621
3047.481374,169.7386067
3246.994576,174.1662492
3405.698259,178.4127164
3617.30317,182.4635793
3796.702278,185.285613
4007.260791,188.6555294
4208.285457,190.0193693
4407.798658,190.75371
4607.31186,190.4729327
4806.825061,189.8681815
5006.338263,189.528009
5205.851465,188.3779018
5405.364666,187.1722563
5614.480108,186.3971501
5804.39107,184.4686174
6002.392808,181.0160962
6176.908726,175.7301937
6312.242856,170.5449416
6472.183191,165.2461694
6557.924401,160.8401251
6668.018145,155.7287316
6790.7955,149.5525441
6801.957078,148.1256
6909.387263,144.0881853
6965.195152,141.1641136
8000,0
